Date,Open,Close,High,Low,Volume,Open_hfq,Close_hfq,High_hfq,Low_hfq,Open_qfq,Close_qfq,High_qfq,Low_qfq
2018-06-08,16.52,19.83,19.83,16.52,16726.0,16.52,19.83,19.83,16.52,16.52,19.83,19.83,16.52
2018-06-11,21.81,21.81,21.81,21.81,19322.0,21.81,21.81,21.81,21.81,21.81,21.81,21.81,21.81
2018-06-12,23.99,23.99,23.99,23.99,144923.0,23.99,23.99,23.99,23.99,23.99,23.99,23.99,23.99
2018-06-13,24.55,25.72,26.36,23.56,6332171.0,24.55,25.72,26.36,23.56,24.55,25.72,26.36,23.56
2018-06-14,24.51,23.29,24.86,23.15,3477821.0,24.51,23.29,24.86,23.15,24.51,23.29,24.86,23.15
2018-06-15,22.6,22.58,23.13,22.02,2138700.0,22.6,22.58,23.13,22.02,22.6,22.58,23.13,22.02
2018-06-19,21.83,20.32,21.84,20.32,2099677.0,21.83,20.32,21.84,20.32,21.83,20.32,21.84,20.32
2018-06-20,19.8,19.86,20.26,19.01,1982719.0,19.8,19.86,20.26,19.01,19.8,19.86,20.26,19.01
2018-06-21,19.6,18.17,19.78,18.05,1978495.0,19.6,18.17,19.78,18.05,19.6,18.17,19.78,18.05
2018-06-22,17.7,18.72,19.18,17.53,1755750.0,17.7,18.72,19.18,17.53,17.7,18.72,19.18,17.53
2018-06-25,18.62,18.21,18.76,18.13,1154430.0,18.62,18.21,18.76,18.13,18.62,18.21,18.76,18.13
2018-06-26,17.74,18.53,18.66,17.55,1137258.0,17.74,18.53,18.66,17.55,17.74,18.53,18.66,17.55
2018-06-27,18.5,18.27,18.86,18.18,970391.0,18.5,18.27,18.86,18.18,18.5,18.27,18.86,18.18
2018-06-28,18.22,17.89,18.64,17.76,863990.0,18.22,17.89,18.64,17.76,18.22,17.89,18.64,17.76
2018-06-29,17.95,18.44,18.61,17.6,1278003.0,17.95,18.44,18.61,17.6,17.95,18.44,18.61,17.6
2018-07-02,18.2,17.59,18.35,17.1,1218066.0,18.2,17.59,18.35,17.1,18.2,17.59,18.35,17.1
2018-07-03,17.54,17.9,17.97,17.1,897424.0,17.54,17.9,17.97,17.1,17.54,17.9,17.97,17.1
2018-07-04,17.7,17.17,17.87,17.12,807241.0,17.7,17.17,17.87,17.12,17.7,17.17,17.87,17.12
2018-07-05,17.0,16.96,17.5,16.71,911992.0,17.0,16.96,17.5,16.71,17.0,16.96,17.5,16.71
2018-07-06,16.91,17.23,17.68,16.8,1056905.0,16.91,17.23,17.68,16.8,16.91,17.23,17.68,16.8
2018-07-09,17.23,17.47,17.5,17.09,800840.0,17.23,17.47,17.5,17.09,17.23,17.47,17.5,17.09
2018-07-10,17.51,17.35,17.54,17.2,656168.0,17.51,17.35,17.54,17.2,17.51,17.35,17.54,17.2
2018-07-11,16.95,16.65,17.1,16.54,792349.0,16.95,16.65,17.1,16.54,16.95,16.65,17.1,16.54
2018-07-12,16.65,17.96,18.28,16.65,1794765.0,16.65,17.96,18.28,16.65,16.65,17.96,18.28,16.65
2018-07-13,17.7,17.62,17.79,17.48,994408.0,17.7,17.62,17.79,17.48,17.7,17.62,17.79,17.48
