Date,Open,Close,High,Low,Volume,Open_hfq,Close_hfq,High_hfq,Low_hfq,Open_qfq,Close_qfq,High_qfq,Low_qfq
2013-09-18,40.5,42.24,46.4,39.88,388897.0,,,,,,,,
2013-09-23,41.9,46.2,46.46,40.67,318516.0,,,,,,,,
2013-09-24,45.49,44.61,46.15,44.4,200045.0,,,,,,,,
2013-09-25,44.01,45.05,47.14,44.0,171651.0,,,,,,,,
2013-09-26,44.65,43.0,45.07,42.45,146808.0,,,,,,,,
2013-09-27,43.0,43.0,44.3,42.67,85614.0,,,,,,,,
2013-09-30,42.99,43.24,43.8,42.88,76682.0,,,,,,,,
2013-10-08,43.0,44.99,45.21,42.9,111129.0,,,,,,,,
2013-10-09,44.65,44.68,45.54,44.0,83054.0,,,,,,,,
2013-10-10,44.5,45.71,46.36,44.14,156256.0,,,,,,,,
2013-10-11,46.0,45.53,46.05,45.25,79697.0,,,,,,,,
2013-10-14,45.52,46.0,46.33,44.6,96467.0,,,,,,,,
2013-10-15,46.0,45.15,46.0,44.85,92419.0,,,,,,,,
2013-10-16,44.76,44.67,45.88,43.7,89183.0,,,,,,,,
2013-10-17,44.68,44.61,45.1,44.22,55526.0,,,,,,,,
2013-10-18,44.52,46.01,46.8,44.3,104209.0,,,,,,,,
2013-10-21,46.2,47.85,48.1,45.68,135658.0,,,,,,,,
2013-10-22,47.4,47.42,48.31,46.88,82147.0,,,,,,,,
2013-10-23,47.47,46.09,48.43,45.9,87290.0,,,,,,,,
2013-10-24,46.0,47.5,49.6,45.84,122184.0,,,,,,,,
2013-10-25,47.43,47.7,48.85,47.11,102336.0,,,,,,,,
2013-10-28,47.97,49.47,49.5,47.5,104467.0,,,,,,,,
2013-10-29,49.1,48.93,49.68,48.01,96525.0,,,,,,,,
2013-10-30,49.01,50.17,50.66,48.65,121285.0,,,,,,,,
2013-10-31,50.68,48.4,50.8,47.93,100732.0,,,,,,,,
2013-11-01,47.79,47.76,48.79,47.33,72057.0,,,,,,,,
2013-11-04,47.6,47.99,48.5,47.6,49622.0,,,,,,,,
2013-11-05,47.52,48.19,48.41,47.08,54750.0,,,,,,,,
2013-11-06,47.98,46.75,48.23,46.21,60251.0,,,,,,,,
2013-11-07,46.52,46.22,46.93,45.16,62056.0,,,,,,,,
2013-11-08,45.8,45.66,46.2,45.33,33411.0,,,,,,,,
2013-11-11,45.69,45.78,46.0,44.61,35809.0,,,,,,,,
2013-11-12,45.88,46.35,47.02,45.5,64729.0,,,,,,,,
2013-11-13,45.86,45.5,46.34,45.5,30484.0,,,,,,,,
2013-11-14,45.55,46.0,46.32,44.67,54360.0,,,,,,,,
2013-11-15,45.87,46.2,47.06,45.61,64215.0,,,,,,,,
2013-11-18,46.35,46.89,47.08,46.1,49830.0,,,,,,,,
2013-11-19,46.88,46.97,47.5,46.51,53161.0,,,,,,,,
2013-11-20,47.48,46.68,47.48,46.41,41726.0,,,,,,,,
2013-11-21,46.7,45.71,46.7,45.05,66029.0,,,,,,,,
2013-11-22,45.85,46.58,46.85,45.66,44288.0,,,,,,,,
2013-11-25,45.83,45.96,46.31,45.58,63202.0,,,,,,,,
2013-11-26,45.91,47.19,47.2,45.7,78583.0,,,,,,,,
2013-11-27,47.2,46.59,47.29,46.25,54173.0,,,,,,,,
2013-11-28,46.6,47.67,47.97,46.6,72379.0,,,,,,,,
2013-11-29,47.52,47.91,48.0,47.28,51259.0,,,,,,,,
2013-12-02,47.02,46.13,47.19,46.03,65133.0,,,,,,,,
2013-12-03,46.0,47.02,47.09,46.0,56068.0,,,,,,,,
2013-12-04,47.0,47.94,48.4,46.8,57260.0,,,,,,,,
2013-12-05,48.06,48.54,48.88,47.89,54737.0,,,,,,,,
2013-12-06,48.59,48.4,48.63,47.73,38443.0,,,,,,,,
2013-12-09,48.45,48.49,48.97,47.95,47076.0,,,,,,,,
2013-12-10,48.8,49.68,50.47,48.8,108138.0,,,,,,,,
2013-12-11,49.45,48.38,50.0,47.84,62952.0,,,,,,,,
2013-12-12,48.2,49.31,49.49,47.68,45684.0,,,,,,,,
2013-12-13,48.51,50.15,50.9,48.42,109874.0,,,,,,,,
2013-12-16,50.14,49.91,51.5,49.8,95774.0,,,,,,,,
2013-12-17,49.96,49.0,50.1,48.92,64058.0,,,,,,,,
2013-12-18,48.98,50.49,50.5,48.5,64061.0,,,,,,,,
2013-12-19,50.75,49.89,51.38,49.89,63464.0,,,,,,,,
2013-12-20,49.6,51.78,52.0,49.41,203682.0,,,,,,,,
2013-12-23,51.2,50.35,51.7,50.01,70541.0,,,,,,,,
2013-12-24,50.8,50.81,51.17,49.77,65759.0,,,,,,,,
2013-12-25,51.0,50.4,51.12,50.14,42624.0,,,,,,,,
2013-12-26,50.16,48.45,50.2,47.58,105909.0,,,,,,,,
2013-12-27,48.0,49.78,50.3,47.82,74526.0,,,,,,,,
2013-12-30,49.78,49.5,50.54,49.41,43800.0,,,,,,,,
2013-12-31,49.41,50.0,50.1,48.26,59859.0,,,,,,,,
2014-01-02,49.4,48.92,49.82,48.6,39462.0,,,,,,,,
2014-01-03,48.4,48.07,48.8,47.11,75845.0,,,,,,,,
2014-01-06,47.88,46.61,47.98,46.36,59925.0,,,,,,,,
2014-01-07,46.2,46.46,47.18,46.2,34409.0,,,,,,,,
2014-01-13,46.0,46.5,48.5,45.8,73946.0,,,,,,,,
2014-01-14,46.5,48.01,48.06,46.33,50115.0,,,,,,,,
2014-01-15,47.7,48.4,49.05,47.51,43067.0,,,,,,,,
2014-01-16,48.39,48.32,49.04,47.81,42451.0,,,,,,,,
2014-01-17,48.05,46.9,48.32,46.67,40190.0,,,,,,,,
2014-01-20,46.89,47.51,47.84,46.51,38168.0,,,,,,,,
2014-01-21,47.5,47.0,47.8,46.78,43355.0,,,,,,,,
2014-01-22,47.05,47.76,47.97,46.85,43178.0,,,,,,,,
2014-01-23,47.73,48.38,49.13,47.32,55000.0,,,,,,,,
2014-01-24,48.38,48.61,49.26,47.8,50366.0,,,,,,,,
2014-01-27,48.31,47.36,48.35,47.15,54222.0,,,,,,,,
2014-01-28,47.83,47.91,48.28,47.3,37089.0,,,,,,,,
2014-01-29,48.25,47.79,48.37,47.5,40069.0,,,,,,,,
2014-01-30,47.88,46.86,47.9,46.51,54555.0,,,,,,,,
2014-02-07,46.41,45.71,46.41,44.9,92332.0,,,,,,,,
2014-02-10,45.69,46.55,47.0,45.4,70580.0,,,,,,,,
2014-02-11,46.52,45.95,46.52,45.5,66580.0,,,,,,,,
2014-02-12,46.0,46.75,47.19,45.66,63704.0,,,,,,,,
2014-02-13,46.81,46.15,46.81,45.7,68569.0,,,,,,,,
2014-02-14,45.89,46.29,46.53,45.81,39653.0,,,,,,,,
2014-02-17,46.35,46.5,46.58,46.0,56502.0,,,,,,,,
2014-02-18,46.39,45.99,46.39,45.66,41225.0,,,,,,,,
2014-02-19,46.0,46.08,46.38,45.5,43870.0,,,,,,,,
2014-02-20,46.06,44.91,46.17,44.7,84851.0,,,,,,,,
2014-02-21,44.95,44.7,45.25,44.48,47925.0,,,,,,,,
2014-02-24,44.5,41.92,44.6,40.3,136223.0,,,,,,,,
2014-02-25,41.8,40.34,41.8,40.28,152013.0,,,,,,,,
2014-02-26,40.09,39.26,40.19,39.0,114312.0,,,,,,,,
2014-02-27,39.43,38.16,39.59,37.74,140958.0,,,,,,,,
2014-02-28,38.2,38.94,38.95,37.78,79789.0,,,,,,,,
2014-03-03,38.5,39.92,40.3,38.5,65239.0,,,,,,,,
2014-03-04,39.59,38.88,39.59,38.45,58296.0,,,,,,,,
2014-03-05,39.0,38.8,39.6,38.55,44450.0,,,,,,,,
2014-03-06,38.8,40.65,41.01,38.61,116626.0,,,,,,,,
2014-03-07,40.69,40.49,41.34,40.32,55135.0,,,,,,,,
2014-03-10,40.0,40.64,41.9,39.75,102743.0,,,,,,,,
2014-03-11,41.05,41.76,42.66,41.05,108795.0,,,,,,,,
2014-03-12,42.25,42.07,42.45,41.36,64092.0,,,,,,,,
2014-03-13,42.13,41.8,42.36,41.35,48878.0,,,,,,,,
2014-03-14,41.77,41.8,42.28,41.01,42505.0,,,,,,,,
2014-03-17,41.9,43.0,43.05,41.43,75809.0,,,,,,,,
2014-03-18,43.69,42.11,43.8,42.07,71977.0,,,,,,,,
2014-03-19,41.88,41.04,42.0,40.5,52737.0,,,,,,,,
2014-03-20,41.04,39.79,41.65,39.55,74253.0,,,,,,,,
2014-03-21,39.79,40.85,41.05,39.78,42796.0,,,,,,,,
2014-03-24,40.57,41.16,41.36,40.33,41982.0,,,,,,,,
2014-03-25,40.98,41.44,42.04,40.7,40067.0,,,,,,,,
2014-03-26,41.41,42.28,42.5,41.41,41386.0,,,,,,,,
2014-03-27,42.28,42.12,42.44,41.75,40380.0,,,,,,,,
2014-03-28,42.21,42.85,43.5,42.21,78610.0,,,,,,,,
2014-03-31,47.14,45.08,47.14,44.79,323946.0,,,,,,,,
2014-04-01,45.08,47.02,47.43,44.29,242924.0,,,,,,,,
2014-04-02,47.16,46.31,47.85,46.2,165363.0,,,,,,,,
2014-04-03,46.5,46.1,47.47,45.36,173079.0,,,,,,,,
2014-04-04,45.68,46.01,46.36,45.03,121390.0,,,,,,,,
2014-04-08,45.9,46.75,47.01,45.42,154527.0,,,,,,,,
2014-04-09,47.0,46.84,47.44,46.52,130119.0,,,,,,,,
2014-04-10,47.02,46.59,47.05,46.02,137331.0,,,,,,,,
2014-04-11,46.69,47.9,48.26,46.61,212348.0,,,,,,,,
2014-04-14,47.75,47.34,47.95,47.11,106481.0,,,,,,,,
2014-04-15,47.46,45.9,47.46,45.8,128488.0,,,,,,,,
2014-04-16,45.6,46.16,46.18,45.6,66535.0,,,,,,,,
2014-04-17,46.21,46.34,46.86,46.2,61636.0,,,,,,,,
2014-04-18,46.1,46.7,46.85,45.7,54637.0,,,,,,,,
2014-04-21,46.2,46.0,46.65,45.89,67800.0,,,,,,,,
2014-04-22,45.9,45.15,46.16,44.13,115518.0,,,,,,,,
2014-04-23,45.81,46.09,46.9,45.72,103496.0,,,,,,,,
2014-04-24,45.99,47.17,47.27,45.52,116680.0,,,,,,,,
2014-04-25,47.39,47.01,47.57,46.75,92572.0,,,,,,,,
2014-04-28,47.0,46.44,47.23,44.99,95543.0,,,,,,,,
2014-04-29,46.7,46.99,47.89,45.89,188982.0,,,,,,,,
2014-04-30,17.88,17.27,17.89,17.14,272666.0,,,,,,,,
2014-05-05,17.23,17.55,17.69,16.81,217532.0,,,,,,,,
2014-05-06,17.4,17.15,17.6,17.05,163111.0,,,,,,,,
2014-05-07,17.05,16.7,17.06,16.68,196783.0,,,,,,,,
2014-05-08,16.68,16.84,17.2,16.51,181813.0,,,,,,,,
2014-05-09,16.8,17.13,17.19,16.67,157840.0,,,,,,,,
2014-05-13,17.34,17.2,17.6,17.12,174185.0,,,,,,,,
2014-05-14,17.15,17.28,17.41,17.04,113120.0,,,,,,,,
2014-05-15,17.11,17.01,17.21,16.93,147271.0,,,,,,,,
2014-05-16,16.95,17.1,17.15,16.91,77555.0,,,,,,,,
2014-05-19,16.8,16.61,16.95,16.51,136319.0,,,,,,,,
2014-05-20,16.75,16.59,16.98,16.42,101904.0,,,,,,,,
2014-05-21,16.47,16.57,16.64,16.31,80266.0,,,,,,,,
2014-05-22,16.58,16.76,16.98,16.54,131246.0,,,,,,,,
2014-05-23,16.72,16.9,16.98,16.71,63678.0,,,,,,,,
2014-05-26,16.99,17.0,17.21,16.82,110551.0,,,,,,,,
2014-05-27,17.03,16.94,17.13,16.91,87700.0,,,,,,,,
2014-05-28,16.94,17.33,17.41,16.8,182776.0,,,,,,,,
2014-05-29,17.26,17.32,17.59,17.26,138250.0,,,,,,,,
2014-05-30,17.33,17.42,17.55,17.32,109160.0,,,,,,,,
2014-06-03,17.47,17.63,17.85,17.46,119902.0,,,,,,,,
2014-06-04,17.66,17.32,17.69,17.2,92684.0,,,,,,,,
2014-06-05,17.31,17.49,17.59,17.19,88469.0,,,,,,,,
2014-06-06,17.48,17.5,17.68,17.39,77654.0,,,,,,,,
2014-06-09,17.66,17.57,17.85,17.38,111458.0,,,,,,,,
2014-06-10,17.62,18.26,18.37,17.62,330650.0,,,,,,,,
2014-06-11,18.2,18.34,18.41,18.03,192357.0,,,,,,,,
2014-06-12,18.3,18.43,18.56,18.12,189731.0,,,,,,,,
2014-06-13,18.5,19.07,19.29,18.5,294829.0,,,,,,,,
2014-06-16,19.08,19.09,19.27,18.88,223839.0,,,,,,,,
2014-06-17,19.09,18.53,19.09,18.45,220297.0,,,,,,,,
2014-06-18,18.5,18.33,18.65,18.21,127940.0,,,,,,,,
2014-06-19,18.33,18.48,18.54,18.07,151632.0,,,,,,,,
2014-06-20,18.4,18.37,18.5,18.21,143348.0,,,,,,,,
2014-06-23,18.43,18.0,18.47,17.98,188465.0,,,,,,,,
2014-06-24,18.03,18.27,18.32,17.82,114601.0,,,,,,,,
2014-06-25,18.29,18.28,18.32,18.01,110741.0,,,,,,,,
2014-06-26,18.28,18.67,18.76,18.2,127189.0,,,,,,,,
2014-06-27,18.68,19.2,19.26,18.61,227211.0,,,,,,,,
2014-06-30,19.21,19.32,19.76,19.16,218974.0,,,,,,,,
2014-07-01,19.29,18.89,19.29,18.77,204600.0,,,,,,,,
2014-07-02,18.91,19.3,19.38,18.9,205399.0,,,,,,,,
2014-07-03,19.19,19.56,19.77,19.15,186932.0,,,,,,,,
2014-07-04,19.53,19.56,19.65,19.32,111672.0,,,,,,,,
2014-07-07,19.56,19.22,19.56,19.1,123437.0,,,,,,,,
2014-07-08,19.22,19.37,19.39,18.87,146998.0,,,,,,,,
2014-07-09,19.3,18.99,19.31,18.85,117778.0,,,,,,,,
2014-07-10,18.93,18.85,19.07,18.83,91794.0,,,,,,,,
