Date,Open,Close,High,Low,Volume,Open_hfq,Close_hfq,High_hfq,Low_hfq,Open_qfq,Close_qfq,High_qfq,Low_qfq
2010-05-28,78.0,81.93,83.0,76.88,340983.54,,,,,,,,
2010-05-31,85.88,85.0,87.77,83.51,172278.73,,,,,,,,
2010-06-01,86.0,87.25,88.0,84.18,109946.8,,,,,,,,
2010-06-02,84.5,86.1,86.4,82.22,94962.64,,,,,,,,
2010-06-03,86.0,81.6,86.79,81.01,75605.22,,,,,,,,
2010-06-04,80.05,81.05,82.89,80.03,50877.72,,,,,,,,
2010-06-07,78.41,81.13,82.59,78.41,46768.06,,,,,,,,
2010-06-08,80.6,79.29,82.4,77.43,55143.13,,,,,,,,
2010-06-09,79.09,81.2,82.38,78.52,44958.39,,,,,,,,
2010-06-10,80.5,83.5,84.26,80.27,36192.26,,,,,,,,
2010-06-11,84.0,84.18,84.9,82.58,37850.7,,,,,,,,
2010-06-17,84.2,80.0,84.72,79.3,33014.53,,,,,,,,
2010-06-18,78.92,79.59,80.94,78.52,19239.0,,,,,,,,
2010-06-21,79.0,79.0,79.38,74.0,23654.97,,,,,,,,
2010-06-22,78.0,77.5,79.35,76.88,11907.46,,,,,,,,
2010-06-23,76.5,78.2,78.5,76.06,12902.47,,,,,,,,
2010-06-24,77.81,78.6,78.8,77.73,11781.16,,,,,,,,
2010-06-28,78.48,75.0,78.48,74.82,22415.03,,,,,,,,
2010-06-29,75.0,69.58,75.0,69.18,19273.04,,,,,,,,
2010-06-30,68.77,69.3,70.5,66.0,12763.16,,,,,,,,
2010-07-01,69.0,68.4,69.79,68.05,7047.92,,,,,,,,
2010-07-02,68.15,66.66,68.6,63.6,17593.15,,,,,,,,
2010-07-05,65.0,67.89,67.98,64.2,10423.55,,,,,,,,
2010-07-06,67.0,68.64,69.5,66.32,10106.88,,,,,,,,
2010-07-07,68.64,68.96,69.0,66.66,8628.28,,,,,,,,
2010-07-08,69.5,69.24,69.97,68.0,9383.42,,,,,,,,
2010-07-09,69.24,71.03,71.98,68.43,8821.25,,,,,,,,
2010-07-12,71.4,70.69,71.4,69.5,12880.0,,,,,,,,
2010-07-13,70.0,68.34,70.0,68.01,6008.91,,,,,,,,
2010-07-14,68.89,68.66,69.3,67.66,8360.79,,,,,,,,
2010-07-15,68.58,67.37,69.4,67.37,5017.14,,,,,,,,
2010-07-16,67.18,65.54,67.18,64.8,11960.82,,,,,,,,
2010-07-19,65.0,66.3,66.48,64.74,7425.78,,,,,,,,
2010-07-20,65.99,69.2,69.36,65.99,10751.82,,,,,,,,
2010-07-21,69.2,69.99,71.2,68.7,13002.42,,,,,,,,
2010-07-22,69.45,70.26,70.28,68.81,6230.32,,,,,,,,
2010-07-23,70.61,69.82,71.56,69.3,8561.08,,,,,,,,
2010-07-26,70.06,70.77,70.9,69.54,15349.83,,,,,,,,
2010-07-27,70.6,69.8,71.18,69.8,9074.82,,,,,,,,
2010-07-28,69.15,71.22,71.39,69.01,13489.15,,,,,,,,
2010-07-29,71.3,72.05,72.78,71.27,13924.8,,,,,,,,
2010-07-30,72.05,71.53,72.05,70.54,9141.86,,,,,,,,
